tarih,istasyon_adi,gunluk_yolcu,nem,maksimum_sicaklik,minimum_sicaklik,ruzgar_hizi,ay,gun,donem
2024-01-01,Anadolu Hisarı,449,67.0,9.0,7.0,31.0,1,1,Okul
2024-01-02,Anadolu Hisarı,381,68.0,12.0,10.0,25.0,1,2,Okul
2024-01-03,Anadolu Hisarı,381,68.0,14.0,9.0,27.0,1,3,Okul
2024-01-04,Anadolu Hisarı,388,69.0,13.0,9.0,17.0,1,4,Okul
2024-01-05,Anadolu Hisarı,364,60.0,20.0,16.0,19.0,1,5,Okul
2024-01-06,Anadolu Hisarı,447,74.0,24.0,20.0,16.0,1,6,Okul
2024-01-07,Anadolu Hisarı,375,49.0,28.0,22.0,18.0,1,7,Okul
2024-01-08,Anadolu Hisarı,452,58.0,31.0,25.0,16.0,1,8,Okul
2024-01-09,Anadolu Hisarı,412,66.0,27.0,22.0,21.0,1,9,Okul
2024-01-10,Anadolu Hisarı,452,66.0,27.0,22.0,21.0,1,10,Okul
2024-01-11,Anadolu Hisarı,446,66.0,27.0,22.0,21.0,1,11,Okul
2024-01-12,Anadolu Hisarı,387,66.0,27.0,22.0,21.0,1,12,Okul
2024-01-13,Anadolu Hisarı,395,73.0,5.0,4.0,17.0,1,13,Okul
2024-01-14,Anadolu Hisarı,370,73.0,9.0,6.0,18.0,1,14,Okul
2024-01-15,Anadolu Hisarı,373,75.0,7.0,4.0,27.0,1,15,Tatil
2024-01-16,Anadolu Hisarı,374,61.0,6.0,3.0,22.0,1,16,Tatil
2024-01-17,Anadolu Hisarı,392,67.0,10.0,7.0,16.0,1,17,Tatil
2024-01-18,Anadolu Hisarı,402,65.0,12.0,9.0,16.0,1,18,Tatil
2024-01-19,Anadolu Hisarı,434,75.0,13.0,10.0,14.0,1,19,Tatil
2024-01-20,Anadolu Hisarı,363,70.0,13.0,10.0,11.0,1,20,Tatil
2024-01-21,Anadolu Hisarı,453,77.0,10.0,8.0,15.0,1,21,Tatil
2024-01-22,Anadolu Hisarı,432,79.0,10.0,7.0,17.0,1,22,Tatil
2024-01-23,Anadolu Hisarı,396,73.0,13.0,10.0,16.0,1,23,Tatil
2024-01-24,Anadolu Hisarı,424,66.0,14.0,11.0,22.0,1,24,Tatil
2024-01-25,Anadolu Hisarı,448,68.0,14.0,10.0,19.0,1,25,Tatil
2024-01-26,Anadolu Hisarı,411,67.0,14.0,11.0,13.0,1,26,Tatil
2024-01-27,Anadolu Hisarı,411,82.0,8.0,7.0,15.0,1,27,Tatil
2024-01-28,Anadolu Hisarı,361,77.0,13.0,9.0,10.0,1,28,Tatil
2024-01-29,Anadolu Hisarı,374,66.0,15.0,12.0,17.0,1,29,Tatil
2024-01-30,Anadolu Hisarı,370,63.0,14.0,11.0,11.0,1,30,Tatil
2024-01-31,Anadolu Hisarı,453,68.0,14.0,11.0,23.0,1,31,Tatil
2024-02-01,Anadolu Hisarı,585,75.0,8.0,7.0,13.0,2,1,Tatil
2024-02-02,Anadolu Hisarı,614,67.0,15.0,11.0,14.0,2,2,Tatil
2024-02-03,Anadolu Hisarı,562,79.0,12.0,8.0,17.0,2,3,Okul
2024-02-04,Anadolu Hisarı,526,74.0,13.0,10.0,21.0,2,4,Okul
2024-02-05,Anadolu Hisarı,610,68.0,18.0,15.0,13.0,2,5,Okul
2024-02-06,Anadolu Hisarı,526,71.0,27.0,20.0,8.0,2,6,Okul
2024-02-07,Anadolu Hisarı,552,58.0,28.0,22.0,20.0,2,7,Okul
2024-02-08,Anadolu Hisarı,591,62.0,29.0,25.0,16.0,2,8,Okul
2024-02-09,Anadolu Hisarı,543,66.0,27.0,22.0,23.0,2,9,Okul
2024-02-10,Anadolu Hisarı,554,66.0,27.0,22.0,23.0,2,10,Okul
2024-02-11,Anadolu Hisarı,609,66.0,27.0,22.0,23.0,2,11,Okul
2024-02-12,Anadolu Hisarı,609,66.0,27.0,22.0,23.0,2,12,Okul
2024-02-13,Anadolu Hisarı,526,79.0,8.0,8.0,34.0,2,13,Okul
2024-02-14,Anadolu Hisarı,597,68.0,8.0,7.0,34.0,2,14,Okul
2024-02-15,Anadolu Hisarı,544,70.0,8.0,7.0,32.0,2,15,Okul
2024-02-16,Anadolu Hisarı,527,69.0,8.0,7.0,28.0,2,16,Okul
2024-02-17,Anadolu Hisarı,594,66.0,10.0,6.0,14.0,2,17,Okul
2024-02-18,Anadolu Hisarı,546,68.0,14.0,9.0,6.0,2,18,Okul
2024-02-19,Anadolu Hisarı,562,71.0,15.0,10.0,14.0,2,19,Okul
2024-02-20,Anadolu Hisarı,538,70.0,14.0,12.0,8.0,2,20,Okul
2024-02-21,Anadolu Hisarı,601,70.0,13.0,9.0,13.0,2,21,Okul
2024-02-22,Anadolu Hisarı,580,67.0,12.0,9.0,8.0,2,22,Okul
2024-02-23,Anadolu Hisarı,607,81.0,7.0,-5.0,36.0,2,23,Okul
2024-02-24,Anadolu Hisarı,556,82.0,5.0,-5.0,36.0,2,24,Okul
2024-02-25,Anadolu Hisarı,565,80.0,9.0,6.0,33.0,2,25,Okul
2024-02-26,Anadolu Hisarı,546,68.0,9.0,6.0,17.0,2,26,Okul
2024-02-27,Anadolu Hisarı,579,69.0,7.0,4.0,26.0,2,27,Okul
2024-02-28,Anadolu Hisarı,548,64.0,9.0,1.0,22.0,2,28,Okul
2024-02-29,Anadolu Hisarı,625,64.0,9.0,1.0,22.0,2,29,Okul
2024-03-01,Anadolu Hisarı,546,74.0,8.0,6.0,26.0,3,1,Okul
2024-03-02,Anadolu Hisarı,613,60.0,17.0,12.0,10.0,3,2,Okul
2024-03-03,Anadolu Hisarı,547,63.0,9.0,6.0,24.0,3,3,Okul
2024-03-04,Anadolu Hisarı,521,69.0,11.0,9.0,23.0,3,4,Okul
2024-03-05,Anadolu Hisarı,581,64.0,21.0,15.0,10.0,3,5,Okul
2024-03-06,Anadolu Hisarı,565,61.0,27.0,22.0,10.0,3,6,Okul
2024-03-07,Anadolu Hisarı,531,61.0,31.0,24.0,15.0,3,7,Okul
2024-03-08,Anadolu Hisarı,552,56.0,33.0,26.0,8.0,3,8,Okul
2024-03-09,Anadolu Hisarı,614,56.0,33.0,26.0,8.0,3,9,Okul
2024-03-10,Anadolu Hisarı,555,56.0,33.0,26.0,8.0,3,10,Okul
2024-03-11,Anadolu Hisarı,599,56.0,33.0,26.0,8.0,3,11,Okul
2024-03-12,Anadolu Hisarı,608,56.0,33.0,26.0,8.0,3,12,Okul
2024-03-13,Anadolu Hisarı,538,78.0,8.0,7.0,37.0,3,13,Okul
2024-03-14,Anadolu Hisarı,532,69.0,11.0,7.0,17.0,3,14,Okul
2024-03-15,Anadolu Hisarı,537,72.0,10.0,8.0,11.0,3,15,Okul
2024-03-16,Anadolu Hisarı,551,65.0,13.0,5.0,15.0,3,16,Okul
2024-03-17,Anadolu Hisarı,523,65.0,17.0,12.0,13.0,3,17,Okul
2024-03-18,Anadolu Hisarı,532,60.0,23.0,14.0,7.0,3,18,Okul
